,count,mean,std,min,25%,50%,75%,max,Kurtosis,Skew
bvsp,266.0,58507.723909774446,30293.07080397236,8642.43,38008.925,56418.735,72720.00749999999,126801.66,-0.6100986002376936,0.31601588466008723
volume,266.0,1351383997751.8308,2225318694860.242,21483378000.0,65703339250.0,104761855500.0,2305700716760.0,8457826006000.0,1.2588446592468103,1.6071493916475796
moving_average_1,266.0,58507.723909774446,30293.07080397236,8642.43,38008.925,56418.735,72720.00749999999,126801.66,-0.6100986002376936,0.31601588466008723
moving_average_2,266.0,58341.29424812029,30206.615780911674,9407.355,38316.73375,56696.814999999995,72992.40999999999,126510.03999999998,-0.6173886567778606,0.3116194236790369
moving_average_3,266.0,58180.28753132832,30130.043166154144,9602.303333333331,37951.87583333333,56494.27166666667,72452.22,124940.89666666667,-0.624160515034287,0.30880448659071136
moving_average_9,266.0,57130.69298663326,29667.39348803184,10347.868888888888,37605.92277777778,55745.535,68004.03277777777,119262.75666666667,-0.6321530306700187,0.3030684324313973
moving_average_12,266.0,56605.16682957393,29443.39083140529,10819.735833333334,36339.68083333333,54594.85250000001,67114.47583333333,116396.28916666668,-0.6202641212574158,0.30651580749314167
"MA(1,9)",266.0,0.6240601503759399,0.4852776487417066,0.0,0.0,1.0,1.0,1.0,-1.7477993723945209,-0.5151689978885982
"MA(1,12)",266.0,0.6203007518796992,0.4862268122806111,0.0,0.0,1.0,1.0,1.0,-1.7647412166035135,-0.4985826291379722
"MA(2,9)",266.0,0.650375939849624,0.4777500823179141,0.0,0.0,1.0,1.0,1.0,-1.609842133533189,-0.6342862392824341
"MA(2,12)",266.0,0.6127819548872181,0.488032404404274,0.0,0.0,1.0,1.0,1.0,-1.7966972062119002,-0.4656918786984078
"MA(3,9)",266.0,0.6240601503759399,0.4852776487417066,0.0,0.0,1.0,1.0,1.0,-1.7477993723945209,-0.5151689978885982
"MA(3,12)",266.0,0.6353383458646616,0.48224248010558507,0.0,0.0,1.0,1.0,1.0,-1.692950898060007,-0.5655397107852468
OBV,266.0,1.4429100333804116e+16,27315918379880.31,1.4340546906812e+16,1.442887803085114e+16,1.444260756741214e+16,1.444307057950689e+16,1.444520252714264e+16,2.2382755985225837,-1.8896811141204786
obv_ma_1,266.0,1.4429100333804116e+16,27315918379880.31,1.4340546906812e+16,1.442887803085114e+16,1.444260756741214e+16,1.444307057950689e+16,1.444520252714264e+16,2.2382755985225837,-1.8896811141204786
obv_ma_2,266.0,1.4428968986315156e+16,27378599547825.125,1.4343251712417e+16,1.4427562099614224e+16,1.444261085019789e+16,1.4443040627731764e+16,1.444504897152464e+16,2.126852980141574,-1.8651842522324802
obv_ma_3,266.0,1.4428843538297566e+16,27432461096406.05,1.4343502372716334e+16,1.442750989810339e+16,1.4442602912677472e+16,1.4443000068151808e+16,1.444498694829264e+16,2.0241525930624085,-1.841765286138226
obv_ma_9,266.0,1.4428057280643384e+16,27781500459110.973,1.4349006245751222e+16,1.442552965369085e+16,1.444254438994625e+16,1.4442863204811306e+16,1.4444697133616496e+16,1.4369617174591025,-1.703339147655891
obv_ma_12,266.0,1.4427679201488542e+16,27913985598881.047,1.4351214883020666e+16,1.442358858353651e+16,1.4442535199409888e+16,1.4442835950406598e+16,1.4444560784471282e+16,1.1812528529332815,-1.6391649917772833
"VOL(1,9)",266.0,0.6578947368421053,0.4753089206084086,0.0,0.0,1.0,1.0,1.0,-1.5636895423967665,-0.6694210951785561
"VOL(1,12)",266.0,0.6766917293233082,0.4686209745819432,0.0,0.0,1.0,1.0,1.0,-1.43353169818264,-0.7598050991598225
"VOL(2,9)",266.0,0.650375939849624,0.4777500823179141,0.0,0.0,1.0,1.0,1.0,-1.609842133533189,-0.6342862392824341
"VOL(2,12)",266.0,0.6917293233082706,0.46264948430272573,0.0,0.0,1.0,1.0,1.0,-1.312515315151686,-0.8351109197623718
"VOL(3,9)",266.0,0.6390977443609023,0.4811675401881781,0.0,0.0,1.0,1.0,1.0,-1.6732763393553063,-0.582547671842967
"VOL(3,12)",266.0,0.6766917293233082,0.4686209745819432,0.0,0.0,1.0,1.0,1.0,-1.4335316981826403,-0.7598050991598225
MOM(9),266.0,0.6203007518796992,0.48622681228061115,0.0,0.0,1.0,1.0,1.0,-1.7647412166035137,-0.49858262913797213
MOM(12),266.0,0.6090225563909775,0.48888917548293453,0.0,0.0,1.0,1.0,1.0,-1.81173691966626,-0.44937990185597537
selic,266.0,0.0022940237067585203,0.00046699087022206213,0.0009278107823890713,0.002079360502935017,0.002354946727223748,0.002542026654322236,0.0031736683136049117,1.0090184899685313,-0.8907669177760233
bvsp_returns,266.0,0.009544884787609096,0.06925547565881926,-0.2997206681673451,-0.034051851040537706,0.008233889628094682,0.06070339343113201,0.17701618641979167,1.4095563406963456,-0.46405591916074956
risk_premium,266.0,0.00725086097744361,0.0692571687599913,-0.30108702,-0.03590442,0.005971305,0.05856583,0.17403484,1.3976660013345188,-0.46523250892556833
